num,tempo_funcao,tempo_usuario,tempo_sistema
1,1e-07,0.004132,0
2,2e-07,0.004195,0
3,3e-07,0.004326,0
4,3e-07,0.004528,0
5,5e-07,0.004839,0
6,1.1e-06,0.005437,0
7,1.6e-06,0.006205,0
8,4e-06,0.007251,0
9,5.1e-06,0.00884,0
10,7.4e-06,0.011349,0
11,8e-06,0.015171,0
12,2.35e-05,0.021304,0
13,2e-05,0.030252,0
14,3.23e-05,0.045393,0
15,8.35e-05,0.068998,0
16,0.000145,0.106182,0
17,0.0001359,0.165015,0
18,0.000121,0.234207,0
19,0.0002064,0.317998,0
20,0.0002921,0.446481,0
