num,tempo_funcao,tempo_usuario,tempo_sistema
198,1e-06,0.012227,0
199,1e-06,0.012239,0
200,1e-06,0.012252,0
201,1.1e-06,0.012264,0
202,1.1e-06,0.012277,0
203,1.2e-06,0.012292,0
204,1.1e-06,0.012305,0
205,1.1e-06,0.012317,0
206,1e-06,0.01233,0
207,1.1e-06,0.012346,0
208,1.1e-06,0.012359,0
209,1e-06,0.012371,0
210,1.1e-06,0.012386,0
211,1.2e-06,0.012398,0
212,1.2e-06,0.012411,0
213,1.1e-06,0.012424,0
214,1e-06,0.012436,0
215,1.1e-06,0.012448,0
216,1.2e-06,0.012465,0
217,1.3e-06,0.012478,0
218,1.1e-06,0.012491,0
219,1.2e-06,0.012542,0
220,1.1e-06,0.012555,0
221,1.2e-06,0.012567,0
222,1.1e-06,0.01258,0
223,1.2e-06,0.012593,0
224,1.1e-06,0.012608,0
225,1.2e-06,0.012621,0
226,1.3e-06,0.012634,0
227,1.2e-06,0.012647,0
228,1.2e-06,0.012659,0
229,1.1e-06,0.012675,0
230,1.2e-06,0.012688,0
231,1.2e-06,0.0127,0
232,1.2e-06,0.012713,0
233,1.2e-06,0.012726,0
234,1.2e-06,0.012741,0
235,1.2e-06,0.012754,0
236,1.2e-06,0.012766,0
237,1.4e-06,0.012781,0
238,1.2e-06,0.012794,0
239,1.2e-06,0.012807,0
240,1.5e-06,0.012822,0
241,1.2e-06,0.012835,0
242,1.2e-06,0.012848,0
243,1.5e-06,0.012863,0
244,1.3e-06,0.012877,0
245,1.2e-06,0.012892,0
246,1.3e-06,0.012906,0
247,1.3e-06,0.012921,0
248,1.3e-06,0.012934,0
249,1.3e-06,0.012946,0
250,1.3e-06,0.012959,0
251,1.2e-06,0.012972,0
252,1.8e-06,0.012988,0
253,1.4e-06,0.013001,0
254,1.5e-06,0.013017,0
255,1.4e-06,0.01303,0
256,1.3e-06,0.013043,0
257,1.3e-06,0.013058,0
258,1.3e-06,0.013072,0
259,1.3e-06,0.013085,0
260,1.4e-06,0.013098,0
261,1.3e-06,0.013111,0
262,1.2e-06,0.013124,0
263,1.4e-06,0.013139,0
264,1.3e-06,0.013152,0
265,1.3e-06,0.013164,0
266,1.4e-06,0.013177,0
267,1.4e-06,0.013191,0
268,1.4e-06,0.013207,0
269,1.4e-06,0.013222,0
270,1.5e-06,0.013237,0
271,1.4e-06,0.01325,0
272,1.5e-06,0.013263,0
273,1.4e-06,0.013276,0
274,1.3e-06,0.013288,0
275,1.4e-06,0.013305,0
276,1.5e-06,0.013321,0
277,1.4e-06,0.013335,0
278,1.3e-06,0.013347,0
279,1.4e-06,0.01336,0
280,1.4e-06,0.013373,0
281,1.4e-06,0.013386,0
282,1.5e-06,0.013402,0
283,1.4e-06,0.013414,0
284,1.4e-06,0.013427,0
285,1.5e-06,0.013443,0
286,1.4e-06,0.013456,0
287,1.3e-06,0.013469,0
288,1.4e-06,0.013482,0
289,1.4e-06,0.013494,0
290,1.5e-06,0.013508,0
291,1.5e-06,0.013524,0
292,1.5e-06,0.013538,0
293,1.4e-06,0.013552,0
294,1.5e-06,0.013565,0
295,1.9e-06,0.01358,0
296,1.5e-06,0.013594,0
297,1.5e-06,0.013607,0
298,1.5e-06,0.01362,0
299,1.5e-06,0.013633,0
300,1.8e-06,0.01365,0
301,1.5e-06,0.013663,0
302,1.4e-06,0.013677,0
303,1.6e-06,0.01369,0
304,1.5e-06,0.013704,0
305,1.5e-06,0.013718,0
306,1.7e-06,0.013734,0
307,1.5e-06,0.013747,0
308,1.6e-06,0.013763,0
309,1.8e-06,0.013777,0
310,1.6e-06,0.01379,0
311,1.5e-06,0.013804,0
312,1.5e-06,0.013817,0
313,1.6e-06,0.013833,0
314,1.5e-06,0.013846,0
315,1.5e-06,0.013859,0
316,1.5e-06,0.013875,0
317,1.6e-06,0.013888,0
318,1.7e-06,0.013901,0
319,1.5e-06,0.013915,0
320,1.6e-06,0.013928,0
321,1.6e-06,0.013943,0
322,1.6e-06,0.01396,0
323,1.7e-06,0.013976,0
324,1.6e-06,0.013991,0
325,1.6e-06,0.014004,0
326,1.7e-06,0.01402,0
327,2e-06,0.014036,0
328,1.6e-06,0.014054,0
329,1.6e-06,0.014071,0
330,1.5e-06,0.014085,0
331,1.6e-06,0.014098,0
332,1.7e-06,0.014112,0
333,1.5e-06,0.014126,0
334,1.7e-06,0.014143,0
335,1.7e-06,0.014156,0
336,1.6e-06,0.01417,0
337,1.8e-06,0.014184,0
338,1.7e-06,0.0142,0
339,1.7e-06,0.014214,0
340,1.8e-06,0.014227,0
341,1.7e-06,0.014242,0
342,1.9e-06,0.014258,0
343,1.7e-06,0.014271,0
344,1.6e-06,0.014285,0
345,1.7e-06,0.014299,0
346,1.6e-06,0.014313,0
347,2e-06,0.01433,0
348,1.8e-06,0.014344,0
349,1.7e-06,0.014358,0
350,1.7e-06,0.014371,0
351,1.6e-06,0.014387,0
352,1.7e-06,0.014402,0
353,1.6e-06,0.014415,0
354,1.7e-06,0.014432,0
355,1.7e-06,0.014445,0
356,1.8e-06,0.014459,0
357,1.7e-06,0.014472,0
358,1.7e-06,0.014488,0
359,1.8e-06,0.014501,0
360,1.8e-06,0.014557,0
361,1.8e-06,0.014575,0
362,1.8e-06,0.014589,0
363,1.8e-06,0.014603,0
364,1.7e-06,0.014617,0
365,1.8e-06,0.014631,0
366,1.8e-06,0.014648,0
367,1.8e-06,0.014661,0
368,1.8e-06,0.014675,0
369,1.8e-06,0.014689,0
370,1.9e-06,0.014705,0
371,1.8e-06,0.014719,0
372,1.8e-06,0.014733,0
373,1.8e-06,0.014747,0
374,2.2e-06,0.014764,0
375,1.8e-06,0.014778,0
376,1.8e-06,0.014792,0
377,1.9e-06,0.014806,0
378,1.9e-06,0.01482,0
379,1.8e-06,0.014837,0
380,1.9e-06,0.014995,0
381,1.6e-06,0.015009,0
382,1.9e-06,0.015028,0
383,1.8e-06,0.015072,0
384,1.9e-06,0.015089,0
385,1.9e-06,0.015103,0
386,2e-06,0.01512,0
387,1.8e-06,0.015134,0
388,1.8e-06,0.015148,0
389,2.1e-06,0.015165,0
390,1.9e-06,0.015179,0
391,2e-06,0.015179,9.8e-05
392,1.8e-06,0.015179,0.000116
393,1.8e-06,0.015179,0.00013
394,1.8e-06,0.015179,0.000145
395,1.8e-06,0.015179,0.000162
396,1.9e-06,0.015179,0.000176
397,1.8e-06,0.015179,0.00019
398,2e-06,0.015179,0.000208
399,1.9e-06,0.015179,0.000222
400,2e-06,0.015179,0.000236
401,1.9e-06,0.015179,0.00025
402,2e-06,0.015179,0.000268
403,1.9e-06,0.015179,0.000283
404,2e-06,0.015179,0.000297
405,2e-06,0.015179,0.000314
406,2e-06,0.015179,0.000328
407,1.9e-06,0.015179,0.000342
408,1.9e-06,0.015179,0.000357
409,2e-06,0.015179,0.000374
410,2e-06,0.015179,0.000389
411,1.8e-06,0.015179,0.000405
412,2e-06,0.015179,0.000421
413,2e-06,0.015179,0.000435
414,2e-06,0.015179,0.000449
415,2e-06,0.015179,0.000466
416,2e-06,0.015179,0.00048
417,2.1e-06,0.015179,0.000495
418,1.9e-06,0.015179,0.000509
419,2e-06,0.015179,0.000526
420,2e-06,0.015179,0.00054
421,2e-06,0.015179,0.000554
422,2.1e-06,0.015179,0.000569
423,2.4e-06,0.015179,0.000587
424,2.1e-06,0.015179,0.0006
425,2e-06,0.015179,0.000614
