num,tempo_funcao,tempo_usuario,tempo_sistema
1,1e-07,0.004117,0
2,2e-07,0.004146,0
3,2e-07,0.004243,0
4,2e-07,0.004409,0
5,3e-07,0.004685,0
6,3e-07,0.005116,0
7,6e-07,0.005952,0
8,6e-07,0.006962,0
9,8e-07,0.008519,0
10,8e-07,0.010979,0
11,5e-07,0.014795,0
12,8e-07,0.0208,0
13,5e-07,0.029791,0
14,5e-07,0.044849,0
15,6e-07,0.06841,0
16,1.5e-06,0.105034,0
17,6e-07,0.164302,0
18,3e-07,0.233734,0
19,4e-07,0.317365,0
20,4e-07,0.445828,0
