n,tempo_de_execucao
26010,0.000266 segundos
26110,0.000267 segundos
26210,0.000271 segundos
26310,0.000271 segundos
26410,0.000323 segundos
26510,0.000271 segundos
26610,0.000272 segundos
26710,0.000292 segundos
26810,0.000288 segundos
26910,0.000277 segundos
27010,0.000278 segundos
27110,0.000277 segundos
27210,0.00028 segundos
27310,0.000296 segundos
27410,0.0003 segundos
27510,0.000281 segundos
27610,0.000282 segundos
27710,0.000283 segundos
27810,0.000288 segundos
27910,0.000285 segundos
28010,0.000306 segundos
28110,0.000292 segundos
28210,0.000288 segundos
28310,0.000289 segundos
28410,0.000289 segundos
28510,0.000291 segundos
28610,0.000293 segundos
28710,0.000304 segundos
28810,0.000295 segundos
28910,0.000297 segundos
29010,0.000296 segundos
29110,0.000298 segundos
29210,0.000299 segundos
29310,0.00034 segundos
29410,0.000301 segundos
29510,0.000301 segundos
29610,0.000303 segundos
29710,0.000323 segundos
29810,0.000304 segundos
29910,0.000317 segundos
30010,0.000316 segundos
30110,0.000307 segundos
30210,0.000308 segundos
30310,0.000313 segundos
30410,0.000322 segundos
30510,0.000324 segundos
30610,0.000327 segundos
30710,0.000314 segundos
30810,0.000316 segundos
30910,0.000316 segundos
31010,0.000327 segundos
31110,0.000317 segundos
31210,0.000433 segundos
31310,0.000326 segundos
31410,0.000323 segundos
31510,0.000322 segundos
31610,0.000328 segundos
31710,0.000338 segundos
31810,0.000328 segundos
31910,0.000327 segundos
32010,0.000354 segundos
32110,0.000328 segundos
32210,0.000372 segundos
32310,0.00033 segundos
32410,0.000346 segundos
32510,0.000332 segundos
32610,0.000337 segundos
32710,0.000337 segundos
32810,0.000334 segundos
32910,0.000349 segundos
33010,0.00039 segundos
33110,0.000337 segundos
33210,0.000356 segundos
33310,0.000341 segundos
33410,0.000351 segundos
33510,0.000415 segundos
33610,0.000343 segundos
33710,0.000364 segundos
33810,0.000345 segundos
33910,0.000346 segundos
34010,0.000348 segundos
34110,0.000378 segundos
34210,0.000349 segundos
34310,0.000364 segundos
34410,0.000397 segundos
34510,0.000352 segundos
34610,0.000353 segundos
34710,0.000374 segundos
34810,0.000357 segundos
34910,0.000378 segundos
35010,0.00036 segundos
35110,0.000376 segundos
35210,0.000359 segundos
35310,0.000361 segundos
35410,0.000384 segundos
35510,0.000362 segundos
35610,0.000363 segundos
35710,0.000364 segundos
35810,0.000367 segundos
35910,0.000389 segundos
36010,0.000367 segundos
36110,0.00039 segundos
36210,0.000349 segundos
36310,0.000329 segundos
36410,0.000347 segundos
36510,0.000331 segundos
36610,0.000332 segundos
36710,0.000332 segundos
36810,0.000387 segundos
36910,0.000335 segundos
37010,0.000371 segundos
37110,0.000337 segundos
37210,0.000336 segundos
37310,0.000364 segundos
37410,0.000339 segundos
37510,0.000343 segundos
37610,0.000341 segundos
37710,0.000343 segundos
37810,0.000363 segundos
37910,0.000362 segundos
38010,0.000345 segundos
38110,0.000359 segundos
38210,0.000365 segundos
38310,0.000351 segundos
38410,0.000348 segundos
38510,0.000349 segundos
38610,0.000352 segundos
38710,0.000381 segundos
38810,0.000382 segundos
38910,0.000357 segundos
39010,0.000412 segundos
39110,0.000357 segundos
39210,0.000391 segundos
39310,0.000356 segundos
39410,0.000379 segundos
39510,0.000433 segundos
39610,0.00036 segundos
39710,0.000359 segundos
39810,0.000365 segundos
39910,0.000379 segundos
40010,0.000367 segundos
40110,0.000364 segundos
40210,0.000364 segundos
40310,0.000436 segundos
40410,0.000367 segundos
40510,0.000369 segundos
40610,0.000396 segundos
40710,0.000405 segundos
40810,0.000371 segundos
40910,0.000376 segundos
41010,0.000462 segundos
41110,0.000375 segundos
41210,0.00046 segundos
41310,0.00044 segundos
41410,0.000382 segundos
41510,0.000393 segundos
41610,0.00038 segundos
41710,0.000394 segundos
41810,0.000381 segundos
41910,0.000381 segundos
42010,0.000452 segundos
42110,0.000473 segundos
42210,0.000449 segundos
42310,0.000451 segundos
42410,0.000391 segundos
42510,0.000458 segundos
42610,0.000386 segundos
42710,0.000458 segundos
42810,0.000388 segundos
42910,0.000407 segundos
43010,0.000412 segundos
43110,0.000417 segundos
43210,0.000411 segundos
43310,0.000393 segundos
43410,0.000471 segundos
43510,0.000394 segundos
43610,0.000459 segundos
43710,0.000396 segundos
43810,0.000424 segundos
43910,0.00041 segundos
44010,0.000417 segundos
44110,0.0004 segundos
44210,0.000422 segundos
44310,0.000482 segundos
44410,0.000449 segundos
44510,0.000406 segundos
44610,0.000409 segundos
44710,0.000428 segundos
44810,0.00048 segundos
44910,0.000407 segundos
45010,0.000413 segundos
45110,0.000439 segundos
45210,0.000457 segundos
45310,0.000449 segundos
45410,0.000474 segundos
45510,0.000478 segundos
45610,0.000421 segundos
45710,0.00044 segundos
45810,0.000444 segundos
45910,0.000492 segundos
46010,0.000466 segundos
46110,0.000429 segundos
46210,0.000459 segundos
46310,0.000447 segundos
46410,0.000445 segundos
46510,0.000423 segundos
46610,0.000448 segundos
46710,0.000445 segundos
46810,0.000389 segundos
46910,0.000382 segundos
47010,0.000407 segundos
47110,0.000405 segundos
47210,0.000456 segundos
47310,0.000405 segundos
47410,0.000389 segundos
47510,0.000387 segundos
47610,0.00039 segundos
47710,0.000393 segundos
47810,0.000409 segundos
47910,0.000408 segundos
48010,0.000406 segundos
48110,0.000392 segundos
48210,0.000394 segundos
48310,0.000415 segundos
48410,0.000413 segundos
48510,0.000395 segundos
48610,0.00045 segundos
48710,0.000421 segundos
48810,0.000415 segundos
48910,0.000463 segundos
49010,0.000401 segundos
49110,0.000481 segundos
49210,0.000402 segundos
49310,0.000403 segundos
49410,0.000405 segundos
49510,0.000432 segundos
49610,0.000425 segundos
49710,0.000427 segundos
49810,0.000408 segundos
49910,0.000436 segundos
50010,0.000425 segundos
50110,0.000437 segundos
50210,0.000441 segundos
50310,0.000413 segundos
50410,0.000473 segundos
50510,0.000414 segundos
50610,0.000449 segundos
50710,0.000415 segundos
50810,0.000486 segundos
50910,0.000433 segundos
51010,0.000416 segundos
51110,0.000419 segundos
51210,0.000474 segundos
51310,0.000424 segundos
51410,0.00044 segundos
51510,0.000421 segundos
51610,0.000421 segundos
51710,0.000475 segundos
51810,0.000507 segundos
51910,0.000444 segundos
52010,0.000482 segundos
52110,0.000431 segundos
52210,0.000445 segundos
52310,0.000426 segundos
52410,0.00043 segundos
52510,0.000437 segundos
52610,0.000457 segundos
52710,0.00046 segundos
52810,0.000449 segundos
52910,0.000467 segundos
53010,0.000444 segundos
53110,0.000433 segundos
53210,0.000481 segundos
53310,0.000434 segundos
53410,0.000434 segundos
53510,0.000442 segundos
53610,0.000436 segundos
53710,0.000458 segundos
53810,0.000455 segundos
53910,0.000455 segundos
54010,0.000445 segundos
54110,0.000458 segundos
54210,0.000442 segundos
54310,0.000455 segundos
54410,0.000463 segundos
54510,0.000468 segundos
54610,0.000444 segundos
54710,0.000527 segundos
54810,0.000453 segundos
54910,0.00045 segundos
55010,0.000448 segundos
55110,0.000452 segundos
55210,0.000471 segundos
55310,0.000452 segundos
55410,0.000523 segundos
55510,0.000458 segundos
55610,0.000477 segundos
55710,0.000471 segundos
55810,0.000455 segundos
55910,0.00053 segundos
56010,0.000483 segundos
56110,0.000478 segundos
56210,0.000534 segundos
56310,0.000462 segundos
56410,0.000486 segundos
56510,0.000466 segundos
56610,0.000476 segundos
56710,0.000489 segundos
56810,0.000474 segundos
56910,0.000486 segundos
57010,0.000469 segundos
57110,0.00048 segundos
57210,0.000471 segundos
57310,0.000466 segundos
57410,0.000484 segundos
57510,0.000469 segundos
57610,0.00047 segundos
57710,0.00043 segundos
57810,0.000466 segundos
57910,0.000431 segundos
58010,0.000432 segundos
58110,0.000446 segundos
58210,0.000432 segundos
58310,0.000431 segundos
58410,0.000433 segundos
58510,0.000444 segundos
58610,0.000453 segundos
58710,0.000435 segundos
58810,0.000455 segundos
58910,0.000435 segundos
59010,0.00045 segundos
59110,0.000452 segundos
59210,0.000469 segundos
59310,0.000452 segundos
59410,0.00044 segundos
59510,0.000456 segundos
59610,0.000441 segundos
59710,0.000486 segundos
59810,0.000455 segundos
59910,0.000445 segundos
60010,0.000443 segundos
60110,0.000491 segundos
60210,0.000445 segundos
60310,0.000453 segundos
60410,0.000447 segundos
60510,0.000516 segundos
60610,0.000452 segundos
60710,0.00047 segundos
60810,0.000449 segundos
60910,0.000451 segundos
61010,0.000468 segundos
61110,0.000472 segundos
61210,0.00051 segundos
61310,0.000454 segundos
61410,0.000465 segundos
61510,0.000456 segundos
61610,0.000459 segundos
61710,0.000475 segundos
61810,0.000465 segundos
61910,0.000502 segundos
62010,0.00046 segundos
62110,0.000473 segundos
62210,0.00046 segundos
62310,0.000481 segundos
62410,0.000536 segundos
62510,0.000465 segundos
62610,0.000465 segundos
62710,0.000467 segundos
62810,0.000464 segundos
62910,0.000472 segundos
63010,0.000468 segundos
63110,0.000467 segundos
63210,0.000467 segundos
63310,0.000493 segundos
63410,0.000483 segundos
63510,0.00047 segundos
63610,0.000488 segundos
63710,0.00047 segundos
63810,0.00049 segundos
63910,0.000477 segundos
64010,0.000481 segundos
64110,0.000474 segundos
64210,0.000494 segundos
64310,0.000476 segundos
64410,0.00049 segundos
64510,0.000477 segundos
64610,0.000478 segundos
64710,0.000486 segundos
64810,0.00048 segundos
64910,0.000493 segundos
65010,0.000484 segundos
65110,0.000494 segundos
65210,0.000481 segundos
65310,0.000504 segundos
65410,0.000497 segundos
65510,0.000486 segundos
65610,0.000495 segundos
65710,0.000487 segundos
65810,0.00051 segundos
65910,0.000487 segundos
66010,0.000502 segundos
66110,0.000493 segundos
66210,0.000489 segundos
66310,0.00049 segundos
66410,0.000491 segundos
66510,0.000506 segundos
66610,0.000513 segundos
66710,0.000498 segundos
66810,0.000508 segundos
66910,0.000498 segundos
67010,0.000513 segundos
67110,0.000509 segundos
67210,0.000517 segundos
67310,0.000546 segundos
67410,0.000512 segundos
67510,0.000529 segundos
67610,0.0005 segundos
67710,0.00052 segundos
67810,0.000505 segundos
67910,0.000501 segundos
68010,0.00052 segundos
68110,0.000517 segundos
68210,0.000504 segundos
68310,0.000514 segundos
68410,0.000523 segundos
68510,0.000506 segundos
68610,0.000522 segundos
68710,0.000602 segundos
68810,0.000564 segundos
68910,0.000519 segundos
69010,0.000525 segundos
69110,0.000528 segundos
69210,0.000511 segundos
69310,0.000524 segundos
69410,0.000515 segundos
69510,0.000514 segundos
69610,0.000532 segundos
69710,0.000531 segundos
69810,0.000515 segundos
69910,0.000531 segundos
70010,0.000527 segundos
70110,0.000533 segundos
70210,0.000526 segundos
70310,0.000522 segundos
70410,0.000538 segundos
70510,0.000521 segundos
70610,0.000532 segundos
70710,0.000577 segundos
70810,0.000523 segundos
70910,0.000548 segundos
71010,0.000524 segundos
71110,0.000525 segundos
71210,0.000544 segundos
71310,0.000489 segundos
71410,0.000487 segundos
71510,0.000489 segundos
71610,0.000487 segundos
71710,0.000492 segundos
71810,0.000501 segundos
71910,0.000532 segundos
72010,0.000529 segundos
72110,0.000504 segundos
72210,0.000506 segundos
72310,0.000511 segundos
72410,0.000528 segundos
72510,0.000503 segundos
72610,0.000515 segundos
72710,0.000499 segundos
72810,0.000507 segundos
72910,0.000494 segundos
73010,0.000502 segundos
73110,0.000555 segundos
73210,0.000511 segundos
73310,0.000509 segundos
73410,0.000503 segundos
73510,0.000508 segundos
73610,0.000499 segundos
73710,0.000499 segundos
73810,0.0005 segundos
73910,0.000541 segundos
74010,0.000525 segundos
74110,0.000513 segundos
74210,0.000517 segundos
74310,0.000509 segundos
74410,0.000518 segundos
74510,0.00051 segundos
74610,0.000506 segundos
74710,0.000506 segundos
74810,0.000506 segundos
74910,0.000524 segundos
75010,0.000511 segundos
75110,0.000508 segundos
75210,0.000509 segundos
75310,0.00051 segundos
75410,0.00051 segundos
75510,0.000511 segundos
75610,0.000514 segundos
75710,0.000529 segundos
75810,0.000528 segundos
75910,0.00053 segundos
76010,0.000531 segundos
76110,0.000528 segundos
76210,0.000548 segundos
76310,0.000571 segundos
76410,0.000532 segundos
