n,tempo_de_execucao
26110,0.000814 segundos
26210,0.001154 segundos
26310,0.000878 segundos
26410,0.000807 segundos
26510,0.000624 segundos
26610,0.000724 segundos
26710,0.000672 segundos
26810,0.000861 segundos
26910,0.000789 segundos
27010,0.000794 segundos
27110,0.000794 segundos
27210,0.00067 segundos
27310,0.000667 segundos
27410,0.001306 segundos
27510,0.001202 segundos
27610,0.000686 segundos
27710,0.000962 segundos
27810,0.00068 segundos
27910,0.000669 segundos
28010,0.000797 segundos
28110,0.001149 segundos
28210,0.000869 segundos
28310,0.000701 segundos
28410,0.000735 segundos
28510,0.000797 segundos
28610,0.000848 segundos
28710,0.00108 segundos
28810,0.001002 segundos
28910,0.000723 segundos
29010,0.000696 segundos
29110,0.001219 segundos
29210,0.001367 segundos
29310,0.000744 segundos
29410,0.000758 segundos
29510,0.00072 segundos
29610,0.001267 segundos
29710,0.001168 segundos
29810,0.000811 segundos
29910,0.00107 segundos
30010,0.000738 segundos
30110,0.000737 segundos
30210,0.000875 segundos
30310,0.001032 segundos
30410,0.001029 segundos
30510,0.00074 segundos
30610,0.000756 segundos
30710,0.0013 segundos
30810,0.001006 segundos
30910,0.000794 segundos
31010,0.00075 segundos
31110,0.000789 segundos
31210,0.001416 segundos
31310,0.000857 segundos
31410,0.000972 segundos
31510,0.000761 segundos
31610,0.000833 segundos
31710,0.000761 segundos
31810,0.001209 segundos
31910,0.00134 segundos
32010,0.000972 segundos
32110,0.000765 segundos
32210,0.000793 segundos
32310,0.001194 segundos
32410,0.000873 segundos
32510,0.000899 segundos
32610,0.000806 segundos
32710,0.000945 segundos
32810,0.000785 segundos
32910,0.001164 segundos
33010,0.000969 segundos
33110,0.00094 segundos
33210,0.001007 segundos
33310,0.000798 segundos
33410,0.000838 segundos
33510,0.001038 segundos
33610,0.001096 segundos
33710,0.001001 segundos
33810,0.00084 segundos
33910,0.000871 segundos
34010,0.001442 segundos
34110,0.001014 segundos
34210,0.001004 segundos
34310,0.000838 segundos
34410,0.000805 segundos
34510,0.001026 segundos
34610,0.001163 segundos
34710,0.00105 segundos
34810,0.001178 segundos
34910,0.000863 segundos
35010,0.00148 segundos
35110,0.001146 segundos
35210,0.000897 segundos
35310,0.001048 segundos
35410,0.00088 segundos
35510,0.001517 segundos
35610,0.001153 segundos
35710,0.000925 segundos
35810,0.000988 segundos
35910,0.000868 segundos
36010,0.00117 segundos
36110,0.001101 segundos
36210,0.000969 segundos
36310,0.00095 segundos
36410,0.000911 segundos
36510,0.001578 segundos
36610,0.001049 segundos
36710,0.001254 segundos
36810,0.001055 segundos
36910,0.000987 segundos
37010,0.001359 segundos
37110,0.001028 segundos
37210,0.000969 segundos
37310,0.000954 segundos
37410,0.001259 segundos
37510,0.001134 segundos
37610,0.000962 segundos
37710,0.001364 segundos
37810,0.000929 segundos
37910,0.001499 segundos
38010,0.001732 segundos
38110,0.001007 segundos
38210,0.000963 segundos
38310,0.000916 segundos
38410,0.001881 segundos
38510,0.001575 segundos
38610,0.000988 segundos
38710,0.001007 segundos
38810,0.00098 segundos
38910,0.001687 segundos
39010,0.001517 segundos
39110,0.001026 segundos
39210,0.001097 segundos
39310,0.001377 segundos
39410,0.001471 segundos
39510,0.001077 segundos
39610,0.001018 segundos
39710,0.001027 segundos
39810,0.001608 segundos
39910,0.001087 segundos
40010,0.000975 segundos
40110,0.000972 segundos
40210,0.001189 segundos
40310,0.001528 segundos
40410,0.001062 segundos
40510,0.001035 segundos
40610,0.000981 segundos
40710,0.001638 segundos
40810,0.001268 segundos
40910,0.001164 segundos
41010,0.00096 segundos
41110,0.000988 segundos
41210,0.001412 segundos
41310,0.001378 segundos
41410,0.001019 segundos
41510,0.001084 segundos
41610,0.001003 segundos
41710,0.001399 segundos
41810,0.001247 segundos
41910,0.001229 segundos
42010,0.001067 segundos
42110,0.001026 segundos
42210,0.002092 segundos
42310,0.001785 segundos
42410,0.001075 segundos
42510,0.001054 segundos
42610,0.00105 segundos
42710,0.001689 segundos
42810,0.001376 segundos
42910,0.001147 segundos
43010,0.001029 segundos
43110,0.001089 segundos
43210,0.001228 segundos
43310,0.001176 segundos
43410,0.001098 segundos
43510,0.001089 segundos
43610,0.001833 segundos
43710,0.001818 segundos
43810,0.001077 segundos
43910,0.001064 segundos
44010,0.00109 segundos
44110,0.001493 segundos
44210,0.001132 segundos
44310,0.001104 segundos
44410,0.00119 segundos
44510,0.001848 segundos
44610,0.001194 segundos
44710,0.001103 segundos
44810,0.001085 segundos
44910,0.001075 segundos
45010,0.001367 segundos
45110,0.001161 segundos
45210,0.001345 segundos
45310,0.001095 segundos
45410,0.001908 segundos
45510,0.002031 segundos
45610,0.001114 segundos
45710,0.001106 segundos
45810,0.001123 segundos
45910,0.001346 segundos
46010,0.001543 segundos
46110,0.001193 segundos
46210,0.001157 segundos
46310,0.001117 segundos
46410,0.001701 segundos
46510,0.0015 segundos
46610,0.001289 segundos
46710,0.001114 segundos
46810,0.002216 segundos
46910,0.002077 segundos
47010,0.001212 segundos
47110,0.001174 segundos
47210,0.001144 segundos
47310,0.001394 segundos
47410,0.001475 segundos
47510,0.00138 segundos
47610,0.001147 segundos
47710,0.001522 segundos
47810,0.001406 segundos
47910,0.001293 segundos
48010,0.001163 segundos
48110,0.001143 segundos
48210,0.002066 segundos
48310,0.001667 segundos
48410,0.001438 segundos
48510,0.001289 segundos
48610,0.00203 segundos
48710,0.002417 segundos
48810,0.001962 segundos
48910,0.001205 segundos
49010,0.00256 segundos
49110,0.002778 segundos
49210,0.001238 segundos
49310,0.001251 segundos
49410,0.001477 segundos
49510,0.002936 segundos
49610,0.001431 segundos
49710,0.001249 segundos
49810,0.001916 segundos
49910,0.002363 segundos
50010,0.001541 segundos
50110,0.001299 segundos
50210,0.002836 segundos
50310,0.001863 segundos
50410,0.001823 segundos
50510,0.003097 segundos
50610,0.002 segundos
50710,0.001374 segundos
50810,0.001956 segundos
50910,0.002925 segundos
51010,0.001561 segundos
51110,0.00146 segundos
51210,0.002158 segundos
51310,0.001419 segundos
51410,0.001525 segundos
51510,0.00127 segundos
51610,0.002167 segundos
51710,0.001793 segundos
51810,0.00141 segundos
51910,0.002188 segundos
52010,0.002088 segundos
52110,0.001666 segundos
52210,0.001881 segundos
52310,0.00224 segundos
52410,0.001347 segundos
52510,0.001321 segundos
52610,0.001518 segundos
52710,0.002351 segundos
52810,0.001322 segundos
52910,0.001262 segundos
53010,0.001245 segundos
53110,0.001976 segundos
53210,0.001503 segundos
53310,0.001424 segundos
53410,0.001409 segundos
53510,0.001741 segundos
53610,0.002239 segundos
53710,0.001487 segundos
53810,0.001299 segundos
53910,0.001305 segundos
54010,0.001758 segundos
54110,0.001494 segundos
54210,0.001306 segundos
54310,0.001282 segundos
54410,0.001562 segundos
54510,0.001703 segundos
54610,0.001525 segundos
54710,0.001559 segundos
54810,0.001492 segundos
54910,0.001556 segundos
55010,0.001348 segundos
55110,0.001352 segundos
55210,0.001343 segundos
55310,0.001785 segundos
55410,0.00145 segundos
55510,0.001458 segundos
55610,0.001342 segundos
55710,0.002024 segundos
55810,0.001589 segundos
55910,0.00139 segundos
56010,0.001315 segundos
56110,0.002992 segundos
56210,0.001609 segundos
56310,0.001413 segundos
56410,0.001365 segundos
56510,0.002384 segundos
56610,0.002353 segundos
56710,0.001576 segundos
56810,0.001336 segundos
56910,0.001427 segundos
57010,0.00163 segundos
57110,0.00164 segundos
57210,0.001565 segundos
57310,0.00148 segundos
57410,0.002383 segundos
57510,0.001421 segundos
57610,0.001372 segundos
57710,0.001371 segundos
57810,0.001835 segundos
57910,0.001644 segundos
58010,0.001486 segundos
58110,0.001413 segundos
58210,0.001857 segundos
58310,0.001598 segundos
58410,0.001493 segundos
58510,0.001409 segundos
58610,0.002289 segundos
58710,0.002205 segundos
58810,0.001738 segundos
58910,0.001434 segundos
59010,0.001499 segundos
59110,0.001647 segundos
59210,0.00179 segundos
59310,0.001404 segundos
59410,0.002374 segundos
59510,0.003081 segundos
59610,0.001704 segundos
59710,0.001556 segundos
59810,0.002238 segundos
59910,0.002587 segundos
60010,0.001759 segundos
60110,0.001455 segundos
60210,0.002492 segundos
60310,0.002214 segundos
60410,0.00219 segundos
60510,0.001502 segundos
60610,0.002285 segundos
60710,0.001736 segundos
60810,0.001554 segundos
60910,0.00152 segundos
61010,0.002436 segundos
61110,0.001557 segundos
61210,0.001535 segundos
61310,0.001833 segundos
61410,0.003338 segundos
61510,0.001957 segundos
61610,0.001547 segundos
61710,0.00287 segundos
61810,0.001715 segundos
61910,0.001591 segundos
62010,0.001548 segundos
62110,0.003057 segundos
62210,0.001565 segundos
62310,0.001506 segundos
62410,0.002011 segundos
62510,0.002949 segundos
62610,0.001719 segundos
62710,0.001926 segundos
62810,0.002958 segundos
62910,0.001774 segundos
63010,0.001895 segundos
63110,0.001519 segundos
63210,0.002258 segundos
63310,0.001867 segundos
63410,0.001721 segundos
63510,0.002078 segundos
63610,0.003249 segundos
63710,0.001914 segundos
63810,0.001519 segundos
63910,0.002905 segundos
64010,0.002397 segundos
64110,0.002296 segundos
64210,0.001642 segundos
64310,0.0032 segundos
64410,0.001622 segundos
64510,0.001595 segundos
64610,0.002498 segundos
64710,0.003026 segundos
64810,0.002076 segundos
64910,0.00166 segundos
65010,0.00262 segundos
65110,0.001669 segundos
65210,0.001816 segundos
65310,0.001613 segundos
65410,0.00315 segundos
65510,0.001616 segundos
65610,0.001657 segundos
65710,0.001693 segundos
65810,0.002823 segundos
65910,0.002135 segundos
66010,0.001716 segundos
66110,0.002843 segundos
66210,0.002164 segundos
66310,0.001623 segundos
66410,0.001612 segundos
66510,0.002792 segundos
66610,0.002096 segundos
66710,0.002249 segundos
66810,0.00165 segundos
66910,0.002785 segundos
67010,0.001658 segundos
67110,0.001714 segundos
67210,0.002314 segundos
67310,0.003265 segundos
67410,0.001715 segundos
67510,0.001768 segundos
67610,0.003162 segundos
67710,0.002271 segundos
67810,0.00182 segundos
67910,0.00179 segundos
68010,0.002741 segundos
68110,0.001996 segundos
68210,0.001645 segundos
68310,0.003539 segundos
68410,0.002291 segundos
68510,0.001696 segundos
68610,0.002823 segundos
68710,0.00266 segundos
68810,0.001847 segundos
68910,0.001657 segundos
69010,0.003033 segundos
69110,0.002092 segundos
69210,0.001772 segundos
69310,0.002385 segundos
69410,0.002836 segundos
69510,0.002156 segundos
69610,0.0017 segundos
69710,0.002711 segundos
69810,0.002172 segundos
69910,0.001729 segundos
70010,0.001652 segundos
70110,0.003929 segundos
70210,0.001967 segundos
70310,0.001698 segundos
70410,0.002939 segundos
70510,0.002154 segundos
70610,0.002011 segundos
70710,0.002083 segundos
70810,0.003621 segundos
70910,0.002109 segundos
71010,0.001694 segundos
71110,0.004296 segundos
71210,0.002277 segundos
71310,0.001836 segundos
71410,0.002649 segundos
71510,0.002183 segundos
71610,0.001848 segundos
71710,0.001802 segundos
71810,0.002809 segundos
71910,0.001993 segundos
72010,0.001935 segundos
72110,0.001862 segundos
72210,0.003744 segundos
72310,0.002008 segundos
72410,0.001735 segundos
72510,0.003679 segundos
72610,0.002274 segundos
72710,0.001792 segundos
72810,0.002686 segundos
72910,0.001839 segundos
73010,0.001901 segundos
73110,0.002823 segundos
73210,0.003387 segundos
73310,0.002279 segundos
73410,0.001864 segundos
73510,0.0039 segundos
73610,0.002298 segundos
73710,0.001816 segundos
73810,0.002283 segundos
73910,0.003554 segundos
74010,0.001997 segundos
74110,0.002114 segundos
74210,0.003209 segundos
74310,0.001871 segundos
74410,0.001838 segundos
